Date,Open,High,Low,Close,Adj Close,Volume
2013-06-26,172.750000,174.300003,170.050003,173.774994,149.106247,289886
2013-06-27,174.000000,175.850006,171.550003,173.699997,153.457291,262556
2013-06-28,175.500000,175.500000,170.550003,174.899994,154.517441,356154
2013-07-01,174.500000,175.949997,172.649994,175.600006,155.135864,227594
2013-07-02,173.600006,177.250000,173.600006,176.524994,155.953094,283026
2013-07-03,176.500000,176.800003,170.699997,171.725006,151.712479,118260
2013-07-04,172.500000,175.949997,172.500000,175.375000,154.937088,130414
2013-07-05,175.949997,176.199997,174.074997,175.399994,154.959183,176876
2013-07-08,173.675003,179.000000,173.675003,178.024994,157.278259,231380
2013-07-09,178.500000,180.475006,177.425003,180.100006,159.111450,214818
2013-07-10,180.500000,182.774994,180.000000,182.500000,161.231735,537570
2013-07-11,184.000000,184.324997,181.024994,181.675003,160.502884,168152
2013-07-12,184.125000,189.675003,184.000000,187.750000,165.869904,426524
2013-07-15,188.000000,191.949997,187.750000,191.000000,168.741180,228632
2013-07-16,188.000000,192.324997,185.500000,187.675003,165.803665,155048
2013-07-17,187.699997,195.000000,187.699997,193.225006,170.706879,447654
2013-07-18,193.225006,196.800003,191.449997,192.500000,170.066360,194398
2013-07-19,195.500000,196.250000,193.600006,195.375000,172.606339,251568
2013-07-22,195.449997,197.225006,193.000000,196.475006,173.578140,285506
2013-07-23,197.250000,198.699997,191.250000,192.100006,169.712982,195552
2013-07-24,193.050003,196.899994,192.225006,195.975006,173.136429,271560
2013-07-25,196.800003,197.000000,184.600006,188.125000,166.201218,471270
2013-07-26,190.000000,193.500000,184.350006,191.399994,169.094559,522028
2013-07-29,200.500000,208.750000,195.774994,204.250000,180.447037,1475568
2013-07-30,205.250000,211.425003,204.050003,209.875000,185.416534,692056
2013-07-31,210.500000,219.949997,210.000000,218.649994,193.168884,914142
2013-08-01,219.850006,221.699997,213.750000,218.100006,192.683014,508818
2013-08-02,217.000000,225.449997,216.500000,219.375000,193.809402,565842
2013-08-05,218.500000,226.699997,217.300003,224.824997,198.624268,351506
2013-08-06,224.500000,231.600006,223.550003,225.649994,199.353119,443032
2013-08-07,224.774994,231.199997,222.625000,225.024994,198.800964,646472
2013-08-08,224.000000,224.625000,216.324997,223.250000,197.232819,350354
2013-08-12,223.250000,227.500000,221.050003,227.425003,200.921295,348152
2013-08-13,226.000000,234.399994,226.000000,233.399994,206.199966,498684
2013-08-14,233.000000,236.600006,226.975006,230.050003,203.240341,282152
2013-08-16,230.050003,233.750000,226.024994,228.125000,201.539688,452540
2013-08-19,228.225006,231.800003,226.000000,227.899994,201.340881,271440
2013-08-20,225.000000,230.000000,220.774994,223.850006,197.762894,287140
2013-08-21,222.649994,226.100006,218.899994,220.875000,195.134598,173832
2013-08-22,221.850006,224.000000,217.850006,222.449997,196.526047,127216
2013-08-23,222.500000,225.500000,219.524994,224.199997,198.072113,220676
2013-08-26,224.975006,232.500000,224.975006,229.850006,203.063675,473678
2013-08-27,229.500000,232.625000,226.100006,227.449997,200.943359,250270
2013-08-28,228.600006,237.000000,228.600006,235.699997,208.231903,672134
2013-08-29,236.949997,239.750000,231.250000,237.199997,209.557083,500192
2013-08-30,237.100006,247.500000,234.000000,241.949997,213.753571,1098398
2013-09-02,242.000000,244.449997,240.274994,242.100006,213.886063,233000
2013-09-03,242.000000,250.500000,237.024994,239.600006,211.677444,353702
2013-09-04,241.000000,246.300003,238.500000,240.774994,212.715469,429464
2013-09-05,241.000000,241.000000,232.100006,234.175003,206.884644,243882
2013-09-06,234.199997,241.725006,232.850006,234.199997,206.906723,618818
2013-09-10,234.199997,241.524994,233.449997,237.274994,209.623383,857188
2013-09-11,237.000000,241.500000,235.000000,237.625000,209.932602,717366
2013-09-12,237.050003,239.750000,234.850006,236.199997,208.673630,187500
2013-09-13,236.550003,236.850006,225.500000,227.675003,201.142136,387046
2013-09-16,228.000000,228.625000,223.500000,225.475006,199.198547,710492
2013-09-17,225.725006,239.750000,225.725006,237.675003,209.976746,478126
2013-09-18,238.000000,242.449997,237.000000,240.199997,212.207504,754568
2013-09-19,240.625000,241.824997,234.074997,235.699997,208.231903,709798
2013-09-20,235.975006,240.449997,235.000000,237.649994,209.954681,335258
2013-09-23,237.000000,244.699997,237.000000,241.800003,213.621017,601622
2013-09-24,243.949997,245.399994,237.024994,239.050003,211.191528,379140
2013-09-25,239.750000,242.725006,237.000000,237.824997,210.109268,509714
2013-09-26,236.750000,244.649994,236.500000,238.750000,210.926453,916996
2013-09-27,239.800003,242.500000,236.274994,237.574997,209.888382,1153408
2013-09-30,238.149994,242.250000,235.550003,237.024994,209.402496,326088
2013-10-01,237.850006,239.500000,234.750000,235.324997,207.900589,280878
2013-10-03,235.324997,244.125000,235.324997,242.250000,214.018600,689180
2013-10-04,242.000000,245.250000,240.000000,241.449997,213.311798,363374
2013-10-07,241.449997,243.100006,238.625000,240.949997,212.870087,354566
2013-10-08,241.625000,246.250000,240.250000,241.449997,213.311798,529958
2013-10-09,239.850006,241.625000,237.625000,238.574997,210.771881,419462
2013-10-10,239.500000,242.225006,239.000000,240.175003,212.185425,1609260
2013-10-11,245.500000,249.500000,242.100006,244.149994,215.697144,1163290
2013-10-14,244.250000,253.850006,244.250000,250.449997,221.262985,1356310
2013-10-15,252.100006,259.750000,252.100006,255.199997,225.459396,2098512
2013-10-17,255.199997,258.325012,246.000000,247.550003,218.700928,716894
2013-10-18,249.550003,256.100006,247.449997,253.475006,223.935440,520562
2013-10-21,255.000000,257.450012,250.750000,253.225006,223.714584,535496
2013-10-22,256.049988,259.000000,254.600006,257.450012,227.447205,1010312
2013-10-23,257.250000,257.250000,235.774994,246.100006,217.419922,2020530
2013-10-24,247.000000,247.000000,234.500000,235.649994,208.187744,965184
2013-10-25,235.000000,241.500000,233.649994,240.524994,212.494598,1057158
2013-10-28,242.449997,242.649994,238.500000,241.524994,213.378067,415734
2013-10-29,243.000000,244.050003,240.550003,243.199997,214.857880,261582
2013-10-30,243.000000,245.000000,236.675003,237.925003,210.197617,506548
2013-10-31,237.699997,242.949997,237.000000,238.475006,210.683548,1680546
2013-11-01,238.500000,242.350006,238.500000,241.250000,213.135132,296946
2013-11-05,241.250000,241.899994,237.574997,239.550003,211.633240,162158
2013-11-06,241.699997,243.750000,239.649994,240.750000,212.693405,237220
2013-11-07,242.000000,244.500000,239.274994,240.750000,212.693405,367622
2013-11-08,241.649994,243.350006,239.000000,240.625000,212.582977,325604
